	AI_Prov_Name	File_Date	File_Count	Group_Count	Ethnicity	IEP	LEP	Gender	Ven_Stud_ID	Grade	Stud_Test_ID	Score_Flag	Item_ID	Item_Response	Final_Score	Data_Point	Read1_Date	Read1_ID	Read1_Score	Read1_Cond	Read2_Date	Read2_ID	Read2_Score	Read2_Cond	Read3_Date	Read3_ID	Read3_Score	Read3_Cond	Read5_Date	Read5_ID	Read5_Score	Read5_Cond	Alert_Code	Alert_ReaderID
0	AI-XC	20131002135808	1500	1500	W			F	699264	5	10218905	Y	53299	beacause if it was 6000. it wold have to be 6,000 because a decimal cant be after a 0 . so if it is 6.0?0 it would have to be a 0. beacause a number in decimal for cant be afrter a zero .	0		20130812130837	1348	0		20130812130857	1335	0											
1	AI-XC	20131002135808	1500	1500	W			M	699709	5	10218907	Y	53299	These digits 5 and 9 make these two numbers equal because if you take away the last digit on the second number, you get the same as the first.	0		20130812130832	1335	0		20130812130805	1663	0											
2	AI-XC	20131002135808	1500	1500	W	N	N	M	699758	5	10218909	Y	53299	6.06	0		20130812130819	1663	0		20130812130822	1348	0											
3	AI-XC	20131002135808	1500	1500	H	N	N	F	699794	5	10218910	Y	53299	SIX  AND  FIFTY-NINE  THUOSAND  IS  GREATER   THAN   SIX  AND THREE  HUNDRETHS.	0		20130812130818	1335	0		20130812130827	1663	0											
4	AI-XC	20131002135808	1500	1500	W			F	699875	5	10218912	Y	53299	I chose this answer because if you add one number 6.060 is bigger	1		20130812130811	1663	1		20130812130819	1348	1											
5	AI-XC	20131002135808	1500	1500	2			M	699880	5	10218914	Y	53299	First, since both the brginnings of the decimals are the same, I ignored the first two digits of the decimals (6 and 0). Next, I looked at the remaining digits: 59 and ?0. I needed to add a digit which would make ?0 greater than 59. I decided to use 9 for the ?.	1		20130812130812	1348	1		20130812130802	1256	1											
6	AI-XC	20131002135808	1500	1500	W			M	699911	5	10218915	Y	53299	I think this question is write because you could put any number in the text like 6.060, 6.070 or 6.080 therefor I think this question is right.	1		20130812130858	1663	1		20130812130804	1271	1											
7	AI-XC	20131002135808	1500	1500	W			F	699927	5	10218917	Y	53299	I don't understand this problem.	N		20130812130810	1335		N	20130812130815	1663		N					20130815110851	1335		N		
8	AI-XC	20131002135808	1500	1500	W	N	N	M	700717	5	10218919	Y	53299	I thought that 60 is bigger than 59 so I put 60 as the awnser	1		20130812130849	1348	1		20130812130814	1256	1											
9	AI-XC	20131002135808	1500	1500	B	N	N	F	700721	5	10218920	Y	53299	6.059 is more than 6.050 because there is a nine at the end. 59 is more than 50.	0		20130812130833	1256	0		20130812130806	1663	0											
10	AI-XC	20131002135808	1500	1500	W			F	700723	5	10218922	Y	53299	I got 9 because 9 is closer to a whole number in desmails than 5 is. So the model shown above would be: 6.059 < 6.090 instead of 6.059 < 6.0?0. That is how I got my answer.	1		20130812130846	1348	1		20130812130858	1271	1											
11	AI-XC	20131002135808	1500	1500	B	N		M	700752	5	10218923	Y	53299	come	0		20130812130849	1663		N	20130812130852	1348	0		20130816150800	1063		N	20130815110801	1663	0			
12	AI-XC	20131002135808	1500	1500	W	N		F	700755	5	10218925	Y	53299	The first number was 6.059 so, to make the other number bigger you would have to put in a number bigger than five wich i did.	1		20130812130832	1663	0		20130812130840	1271	1		20130816150824	1063	1							
13	AI-XC	20131002135808	1500	1500	W	N	N	F	700864	5	10218927	Y	53299	i think the answer can be 6 because it makes the number 6.060 which is bigger than 6.059	1		20130812130821	1663	1		20130812130835	1271	1											
14	AI-XC	20131002135808	1500	1500	W			M	700886	5	10218928	Y	53299	6.059 is less than 6.0?0 so the missing number is bigger than the 5 because 5is in the same place as the ?.	1		20130812130839	1256	1		20130812130847	1271	1											
15	AI-XC	20131002135808	1500	1500	NR	Y		M	700930	5	10218930	Y	53299	because 6.059 is bigger then 6.0.0	0		20130812130813	1663	0		20130812130838	1335	0											
16	AI-XC	20131002135808	1500	1500	NR			F	700990	5	10218932	Y	53299	6.0 is bigger because 6 is just a whole number and 6.059 isn't	0		20130812130800	1663	0		20130812130813	1256	1		20130816140846	1063	0							
17	AI-XC	20131002135808	1500	1500	H			M	701000	5	10218933	Y	53299	the one on the left would be smaller if the question mark was a 6.	1		20130812130853	1663	1		20130812130830	1271	1											
18	AI-XC	20131002135808	1500	1500	W	N	N	F	701009	5	10218935	Y	53299	I Chose Six As The Digit Because Six Is One More Higher Than Five.	1		20130812130845	1663	1		20130812130834	1335	1											
19	AI-XC	20131002135808	1500	1500	H		N	M	701053	5	10218936	Y	53299	that was to be a number higher then five	0		20130812130841	1663	0		20130812130828	1335	0											
20	AI-XC	20131002135808	1500	1500	H	N	Y	F	701103	5	10218938	Y	53299	since the missing number from the greater than number it needs to be a big number like 9	1		20130812130836	1348	1		20130812130848	1335	1											
21	AI-XC	20131002135808	1500	1500	W	N	N	F	701121	5	10218940	Y	53299	Well, 6.0?0 has to be bigger than 6.059, so the number could either be 6.060, 6.070, 6.080, or 6.090.	1		20130812130835	1663	1		20130812130808	1256	1											
22	AI-XC	20131002135808	1500	1500	W	N	N	F	701145	5	10218942	Y	53299	If you replace the question mark with a 7 it shows that 6.059<6.070 because 70 is greater than 59	1		20130812130832	1348	1		20130812130841	1335	1											
23	AI-XC	20131002135808	1500	1500	NR			M	701161	5	10218944	Y	53299	because it is even number not all of then but some are even and some not even some are odd	0		20130812130819	1256	0		20130812130830	1663	0											
24	AI-XC	20131002135808	1500	1500	B	N	N	M	701184	5	10218946	Y	53299	In the blank spot there should be a six. The reason i say this is because the lower number has a five and nine. So all i had to do is put a six in the hundreths place which would make it one more then the five and nine.	1		20130812130819	1348	1		20130812130834	1256	1											
25	AI-XC	20131002135808	1500	1500	W	N	N	M	701207	5	10218948	Y	53299	my awser is 6.059 < 6.0?0	0		20130812130812	1256	1		20130812130825	1348	0		20130816150804	1063	0							
26	AI-XC	20131002135808	1500	1500	W			F	701314	5	10218950	Y	53299	I think that  the correct anwser would be 6 becuase 6.060  would have a bigger number in the hundredths place. That is how I know that the anwser is 6.060	1		20130812130833	1335	1		20130812130841	1256	1											
