	AI_Prov_Name	File_Date	File_Count	Group_Count	Ethnicity	IEP	LEP	Gender	Ven_Stud_ID	Grade	Stud_Test_ID	Score_Flag	Item_ID	Item_Response	Final_Score	Data_Point	Read1_Date	Read1_ID	Read1_Score	Read1_Cond	Read2_Date	Read2_ID	Read2_Score	Read2_Cond	Read3_Date	Read3_ID	Read3_Score	Read3_Cond	Read5_Date	Read5_ID	Read5_Score	Read5_Cond	Alert_Code	Alert_ReaderID
0	AI-XC	20131002135742	1000	1000	W			M	361409	7	9982804	Y	46450	The effect showed that America had a huge drought and all there was was dust everywhere.	1		20130821181907	661	1		20130821182503	659	1											
1	AI-XC	20131002135742	1000	1000	W			M	361537	7	9982805	Y	46450	Overfarming was the cause.	0		20130821184750	599	0		20130821185009	603	0											
2	AI-XC	20131002135742	1000	1000	W	N	N	M	361546	7	9982806	Y	46450	No one knew for sure what was happening when they saw the cloud of dust covering New York.	0		20130821181038	599	0		20130821181308	660	0											
3	AI-XC	20131002135742	1000	1000	NR			M	361628	7	9982807	Y	46450	idk	T		20130821182349	77		T	20130821182849	457		T										
4	AI-XC	20131002135742	1000	1000	H			M	361667	7	9982808	Y	46450	The effect of starting the presentation with a scene of the Statue of Liberty is to show how massive the storms were.	1		20130821183203	655	1		20130821183339	661	1											
5	AI-XC	20131002135742	1000	1000	W	N	N	F	361678	7	9982809	Y	46450	..	U		20130821182619	77		U	20130821183119	463		U										
6	AI-XC	20131002135742	1000	1000	W	N	N	M	361772	7	9982810	Y	46450	"The starting of the presentation is with a scene of the statue of liberty because, there was a big, black cloud that went through the city of New York. ""Dust storms hit New York, Chicago, and Boston."	1		20130821183604	660	1		20130821184001	659	0		20130821184836	596	1							
7	AI-XC	20131002135742	1000	1000	H	N	N	M	361851	7	9982811	Y	46450	"Death Storms surround New York City, Chicago, and Boston. It was mainly a ""dust storm"" that was going through all the praires and farms. farmers were losing money because of their cattle."	2		20130821183344	663	2		20130821183550	603	0		20130821183907	463	2							
8	AI-XC	20131002135742	1000	1000	B	N	N	F	361858	7	9982812	Y	46450	To state that this happened in the us to american citizens. Also stating that it not only affected the farmers but american citizens as well.	0		20130821183154	597	0		20130821183450	655	0											
9	AI-XC	20131002135742	1000	1000	B	N	N	M	361879	7	9982813	Y	46450	The presentation had no sound	T		20130821183435	77		T	20130821183935	457		T										
10	AI-XC	20131002135742	1000	1000	W	N	N	M	361880	7	9982814	Y	46450	"The effect of the Statue of Liberty and a black cloud at the beginning was to show what kind of disaster its talking about because it said, ""This diasater ripped through farmland."""	1		20130821182447	660	1		20130821182911	659	1											
11	AI-XC	20131002135742	1000	1000	B			M	361890	7	9982815	Y	46450	That was what it was like in the 1930s with the dust surrounding New York. That was the introduction of the Dust Storm in the Great Plains and the drought of farms. Since New York was a popular state and it was during the Great Depression, it would be a good scene of the disaster.	2		20130821184645	641	2		20130821184929	663	0		20130821185420	459	2							
12	AI-XC	20131002135742	1000	1000	B			F	361901	7	9982816	Y	46450	They used the statue of liberty as a symbol of america representing all of the states in the united states that got hit by the dust bowl.	1		20130821181907	661	1		20130821182503	659	1											
13	AI-XC	20131002135742	1000	1000	W	N		F	362035	7	9982817	Y	46450	I dont know.	T		20130821184329	77		T	20130821184829	457		T										
14	AI-XC	20131002135742	1000	1000	B	N	N	M	362060	7	9982818	Y	46450	The effect of starting this presentation is the wind.	0		20130821184639	651	0		20130821184810	641	0											
15	AI-XC	20131002135742	1000	1000	H	N	N	F	362061	7	9982819	Y	46450	"The effect of starting the presentation with a scene of the Statue of Liberty surrounded by a black cloud of dust is because it says New York is one of the cities to get hit by the dust storm. I know this because in the presentatin it says "" Darkness falls across America. Dust storms hit New York, Chicago, and Boston."	1		20130821184818	597	1		20130821184945	660	1											
16	AI-XC	20131002135742	1000	1000	W	N	N	M	362277	7	9982820	Y	46450	It's basically saying that the dust storm first started in the New England region of the U.S. where the Statue of Liberty is located.	0		20130821181507	603	0		20130821181729	661	0											
17	AI-XC	20131002135742	1000	1000	W			F	362361	7	9982821	Y	46450	i think that they did that just to show how powerful the storm is and when it hit then the statue of liberty would be lifted off the ground, and then they were able to do what they wantd to do.	1		20130821181856	660	1		20130821182102	661	1											
18	AI-XC	20131002135742	1000	1000	W			F	362362	7	9982822	Y	46450	The effect the picture has is that it shows you how horrible tthe situation really was.	1		20130821183434	601	1		20130821183550	661	1											
19	AI-XC	20131002135742	1000	1000	NR			M	362462	7	9982823	Y	46450	They were showing what it might have looked like with all the dust in the air and how you wouldnt have been able to see anything.	0		20130821184633	660	0		20130821184913	651	0											
20	AI-XC	20131002135742	1000	1000	W	Y	N	M	362464	7	9982824	Y	46450	That a dust storm whent for the midwest because of over farming.	0		20130821184744	661	0		20130821184836	660	0											
21	AI-XC	20131002135742	1000	1000	W	N	N	F	362492	7	9982825	Y	46450	"The statue of liberty is a great american monument, and the dust around it shows the sand and storm he talks about when he says ""darkness falls across america"""	1		20130821181507	603	0		20130821181729	661	1		20130821182422	596	1							
22	AI-XC	20131002135742	1000	1000	H	N	Y	F	362557	7	9982826	Y	46450	1934 darkness fallows across america dust storms hit new york,chicago, and boston.	N		20130821181132	77		N	20130821181632	463		N										
23	AI-XC	20131002135742	1000	1000	H	N	N	M	362558	7	9982827	Y	46450	they did not know what was happing.	0		20130821182824	633	0		20130821183031	663	0											
24	AI-XC	20131002135742	1000	1000	NR			M	362648	7	9982828	Y	46450	The presentation starts with darkness over the Statue of Liberty because dust storms were hitting that state.	1		20130821180800	651	1		20130821180940	660	0		20130821181252	464	1							
25	AI-XC	20131002135742	1000	1000	A			M	362654	7	9982829	Y	46450	Their was a huge storm created and it was grey and it surround new york. bobby	0		20130821181650	641	1		20130821182027	655	0		20130821182611	464	0							
26	AI-XC	20131002135742	1000	1000	W	N	N	M	362659	7	9982830	Y	46450	The effect of starting the presentation with a scene of the Statue of Liberty surrounded by black cloud of dust showed what the dust storm could do from Texas, Kansas, and Colorado.	0		20130821180933	633	0		20130821181140	660	0											
27	AI-XC	20131002135742	1000	1000	A			F	362838	7	9982831	Y	46450	it was hard to see anything	T		20130821185127	77		T	20130821185627	457		T										
28	AI-XC	20131002135742	1000	1000	A			M	362839	7	9982832	Y	46450	Because the dusk was brought to thew air by static ewlectricity, the winds in the high air caused the dust to move eastward. It headed for New York and hit the Statue of Liberty.	1		20130821181923	659	1		20130821182211	651	0		20130821182701	459	1							
29	AI-XC	20131002135742	1000	1000	W			F	362874	7	9982833	Y	46450	"The effect of starting the presentation with that is getting the listener interested in your presentation. It was interesting because they started off by saying, ""'Darkness falls across America.'"" For all Americans, this would be very interesting to listen to."	0		20130821183205	661	0		20130821183653	599	0											
30	AI-XC	20131002135742	1000	1000	NR			M	362981	7	9982834	Y	46450	she is surune by dust.	0		20130821182042	633	0		20130821182409	661	0											
31	AI-XC	20131002135742	1000	1000	H	N	N	M	363099	7	9982835	Y	46450	This gives the reader an insight on how much dust was kicked up.	0		20130821184758	603	0		20130821185131	601	0											
32	AI-XC	20131002135742	1000	1000	NR		Y	F	363329	7	9982836	Y	46450	The effect of starting the presentation with the statue of liberty surrounded by a black cloud of dust is good because it tells us what it gives us an idea of what it's going to be about and it's a good start off.	0		20130821184746	660	0		20130821184951	599	0											
33	AI-XC	20131002135742	1000	1000	A	N	N	F	363333	7	9982837	Y	46450	The Statue of Liberty is located on the west side of the country and the narrator of the presentation said that the dust bowl struck cities such as Boston, Chicago, and New York. The narrator also mentioned that ships stopped because of all the confusion and the scene showed water.	1		20130821183118	660	1		20130821183834	597	1											
34	AI-XC	20131002135742	1000	1000	H	N	Y	M	363469	7	9982838	Y	46450	The effect of the statue of liberty sorrounded by the black cloud shows the effect of the united states in trouble, and in a time of  desperation.How darkness fell in the united states.	1		20130821183604	660	0		20130821184001	659	1		20130821184836	596	1							
35	AI-XC	20131002135742	1000	1000	W		N	M	363602	7	9982839	Y	46450	"The Statue of Liberty is an iconic scene in which stands for liberty. It is a symbol that most (if not all) Americans have seen and look up to (so to speak). The narrator said, ""Dust storms hit New York, Chicago and Boston."" The Statue of Liberty is located on Ellis island off New York. The narrator also states that the storms started two thousand miles away in the Southwest. New York is in the Northeast. The picture is used to emphasize how far the storms traveled and how powerful the winds were."	1		20130821180843	663	1		20130821181151	655	1											
36	AI-XC	20131002135742	1000	1000	A			M	363674	7	9982840	Y	46450	Cannot answer. There was NO presentation available.	T		20130821181101	77		T	20130821181601	463		T										
37	AI-XC	20131002135742	1000	1000	A	N	Y	F	363691	7	9982841	Y	46450	"The effect of starting the presentation with a scene of the Statue of Liberty surrounded by a black cloud of dust not only supports what the narrator is saying, but also puts curiosity into the listener. As the narrator describe the situation, the picture shows how the people travling to these lands see things. From there the veiwers can see that there is some kind of problom that is going on, on only from hearing it. I can tell that the secne is trying to show us that we are in the point of view of the travels because the narrator says,""'Ships stop off the eastern seaboard not sure what is happening.""' This also builds our curiosity by showing us this secne and tell us how the people seaboard feel when they see this without even telling the situation yet. In my point of veiw, I think that the secne of the Statue of Liberty surrounded by a black cloud of dust brings out the veiwers curiosity and shows us from the point of view as the sailors."	0		20130821184750	599	0		20130821185009	603	0											
38	AI-XC	20131002135742	1000	1000	W	N	N	F	363805	7	9982842	Y	46450	Because it first hits New York, Chicago, and Boston.	0		20130821183619	659	0		20130821183926	601	0											
39	AI-XC	20131002135742	1000	1000	W	N	N	F	363840	7	9982843	Y	46450	The effect of startingwith a scene of the Staute of Liberty surrounded by a black cloud of dust is a way to say this is very important and serious.	1		20130821184133	603	1		20130821184455	633	1											
40	AI-XC	20131002135742	1000	1000	W	N	N	F	363868	7	9982844	Y	46450	The effect of starting the presentation with a scene of the Statue of Liberty was to show the sand that had risen up and that it ruined a little bit of some people's liberty.	0		20130821183737	661	1		20130821184002	633	0		20130821185041	463	0							
41	AI-XC	20131002135742	1000	1000	H		Y	M	363950	7	9982845	Y	46450	i can'hear	T		20130821182436	77		T	20130821182936	463		T										
42	AI-XC	20131002135742	1000	1000	A			M	363965	7	9982846	Y	46450	The effect is that it shows that New York City was in a horrible time.	0		20130821181650	641	1		20130821182027	655	0		20130821182611	464	0							
43	AI-XC	20131002135742	1000	1000	A			F	364009	7	9982847	Y	46450	It made me think of all the dirt and how dust storms still happen today.	0		20130821182010	641	0		20130821182257	597	0											
44	AI-XC	20131002135742	1000	1000	W			F	364031	7	9982848	Y	46450	very dramatic. i did not hear anything so i am just randomly writing words so i can go to the next page.	T		20130821185150	77		T	20130821185650	456		T										
45	AI-XC	20131002135742	1000	1000	B	N	N	F	364773	7	9982849	Y	46450	idk	T		20130821184448	77		T	20130821184948	457		T										
46	AI-XC	20131002135742	1000	1000	NR			F	364824	7	9982850	Y	46450	Because they  dust had flown around the midwest coast and started in New York City where the Statue of Libery is.	0		20130821184633	660	0		20130821184913	651	0											
